balancer,fault,baseline,p99_mean,p99_std,p99_ms
lor,S2_progressive,adaptive,0.019886261851983382,1.2866749458553714e-05,19.88626185198338
lor,S2_progressive,fixed_isolation,0.020662783568691247,0.0024461911092337916,20.662783568691246
lor,S2_progressive,no_mitigation,0.08431439423945356,0.0007221699552702889,84.31439423945355
lor,S4_multi_node,adaptive,0.051192794840743794,0.01564918408855055,51.192794840743794
lor,S4_multi_node,fixed_isolation,0.10442004303659831,0.2168550994851879,104.42004303659832
lor,S4_multi_node,no_mitigation,0.05915279370718128,7.690400680114237e-05,59.15279370718128
lor,S6_cascade,adaptive,0.019915315518772937,1.5399327232660425e-05,19.91531551877294
lor,S6_cascade,fixed_isolation,0.020265013332555298,0.0011037483032554345,20.2650133325553
lor,S6_cascade,no_mitigation,0.08327610300464221,0.0009399415096958437,83.27610300464221
p2c,S2_progressive,adaptive,0.030842170166096215,0.0006849079843622563,30.842170166096214
p2c,S2_progressive,fixed_isolation,0.030842170166096215,0.0006849079843622556,30.842170166096214
p2c,S2_progressive,no_mitigation,0.12972492857298806,0.0011716418966045972,129.72492857298806
p2c,S4_multi_node,adaptive,0.037705711059228555,0.0005125912877924261,37.705711059228555
p2c,S4_multi_node,fixed_isolation,0.03775670840241728,0.0006084589122659467,37.75670840241728
p2c,S4_multi_node,no_mitigation,0.0959406769760626,0.001554708683708669,95.94067697606259
p2c,S6_cascade,adaptive,0.03284623516302167,0.0006447297192329159,32.84623516302167
p2c,S6_cascade,fixed_isolation,0.03284623516302167,0.0006447297192329162,32.84623516302167
p2c,S6_cascade,no_mitigation,0.1268639450676753,0.001836246825655714,126.86394506767529
