param_name,param_value,metric,mean,ci_95,min,max,n
debounce,1.0,p99_latency,0.04249715601944335,0.01139697542854138,0.03684698574884049,0.08782578432817581,10
debounce,1.0,p999_latency,0.06536440970656746,0.01607729691904879,0.04921209057480822,0.11982087021174141,10
debounce,1.0,slo_violation_rate,0.004359404052190898,0.007131936619806579,0.000916095586407698,0.032716132364490544,10
debounce,1.0,goodput,2546.981818181818,15.721447322435575,2485.690909090909,2560.7272727272725,10
debounce,2.0,p99_latency,0.03806466335488044,0.0006104040476688692,0.037133540077174856,0.03955698905207694,10
debounce,2.0,p999_latency,0.06517221120095906,0.015850060395410738,0.04832522197386914,0.11454792275807749,10
debounce,2.0,slo_violation_rate,0.00200669236446458,0.0012029364181343797,0.0008895594190109523,0.0060645702544560014,10
debounce,2.0,goodput,2555.165454545455,6.36135214560064,2541.818181818182,2573.090909090909,10
debounce,3.0,p99_latency,0.038654410035835994,0.002813478151492558,0.03707638097898535,0.04982767688949816,10
debounce,3.0,p999_latency,0.06252577785427599,0.012854316710775809,0.04546408433663433,0.0946071017910241,10
debounce,3.0,slo_violation_rate,0.0019345992562140256,0.0020150036112411562,0.0006766092617124625,0.009928937178196054,10
debounce,3.0,goodput,2551.796363636364,4.777944424372452,2538.2181818181816,2560.2545454545457,10
debounce,4.0,p99_latency,0.0467917551622068,0.020885163164467258,0.036751334384393604,0.1298769461659156,10
debounce,4.0,p999_latency,0.07389464530047588,0.02830497115941312,0.04786798646155247,0.17874156082967138,10
debounce,4.0,slo_violation_rate,0.0041028189193053986,0.005606785800007561,0.0008598757799286517,0.026284408228162574,10
debounce,4.0,goodput,2545.241818181818,13.21589738058301,2494.163636363636,2556.5454545454545,10
decision_epoch,0.25,p99_latency,0.0426424416627777,0.009391342792412515,0.0367460851364612,0.07975061461394276,10
decision_epoch,0.25,p999_latency,0.09312571842235055,0.04427811310485722,0.04510958511086091,0.17555839477862778,10
decision_epoch,0.25,slo_violation_rate,0.004322118135999946,0.0036956590406246378,0.0005324171026571163,0.015045007341623102,10
decision_epoch,0.25,goodput,2545.0527272727277,10.984488919797267,2524.6545454545453,2565.490909090909,10
decision_epoch,0.5,p99_latency,0.03832377685469804,0.0016233163738835947,0.036801628174546255,0.04467428204327647,10
decision_epoch,0.5,p999_latency,0.06078770138202029,0.017305832750738152,0.0475275324440602,0.1281253073301988,10
decision_epoch,0.5,slo_violation_rate,0.0018089922353653992,0.0017413860882670375,0.0008247774522908905,0.00872932016253129,10
decision_epoch,0.5,goodput,2554.061818181818,4.093191723575319,2541.6,2559.7454545454543,10
decision_epoch,1.0,p99_latency,0.03808024602815779,0.00048328182343384564,0.037163691953226385,0.03945935515697133,10
decision_epoch,1.0,p999_latency,0.08064120907367807,0.008692620590374444,0.061202749150610594,0.09393519926092106,10
decision_epoch,1.0,slo_violation_rate,0.002205978831515785,0.0006371093300663151,0.0014290487938401599,0.004586505607304382,10
decision_epoch,1.0,goodput,2549.932727272728,4.6844273211190215,2537.109090909091,2560.6363636363635,10
decision_epoch,2.0,p99_latency,0.038501991656275256,0.0003601254993605008,0.0378753182255609,0.039304816941837094,10
decision_epoch,2.0,p999_latency,0.1179696952540766,0.013086865920341854,0.0972924005630688,0.15047424328903114,10
decision_epoch,2.0,slo_violation_rate,0.004205309485559064,0.0005710622599353286,0.003531757334092851,0.0060963898274942205,10
decision_epoch,2.0,goodput,2545.172727272727,2.4223303394454168,2540.163636363636,2551.672727272727,10
theta_iso,0.3,p99_latency,0.03893432978518051,0.002426010402109522,0.03725191935025461,0.048435755287410676,10
theta_iso,0.3,p999_latency,0.05876251538831236,0.008152269425483302,0.048270006582629435,0.08496980799962896,10
theta_iso,0.3,slo_violation_rate,0.0020410810572799474,0.0018677141331594766,0.0008941877794336811,0.009388936702918394,10
theta_iso,0.3,goodput,2554.961818181818,6.99392155283576,2532.2,2567.2363636363634,10
theta_iso,0.4,p99_latency,0.03788659427757905,0.00024982796419705395,0.03714911242563762,0.038374238694514985,10
theta_iso,0.4,p999_latency,0.06918075529037353,0.011170157299719208,0.048881935828257214,0.09185912051692106,10
theta_iso,0.4,slo_violation_rate,0.0017988390929565671,0.0006057305379501801,0.0009456231158637166,0.003024644462273595,10
theta_iso,0.4,goodput,2556.361818181818,3.0888910361383504,2550.2363636363634,2565.0363636363636,10
theta_iso,0.5,p99_latency,0.042263143256252134,0.009333119206955906,0.03693589805183208,0.0788916477599039,10
theta_iso,0.5,p999_latency,0.06759815472592692,0.020208418726710527,0.04607274310861245,0.141769445411102,10
theta_iso,0.5,slo_violation_rate,0.0042482393248359455,0.005793080124488684,0.0007530548451264564,0.026570065382576426,10
theta_iso,0.5,goodput,2546.378181818182,12.458691140790084,2503.927272727273,2565.909090909091,10
theta_iso,0.6,p99_latency,0.04281772267214224,0.010891492500533537,0.03740331303333022,0.08613114630120544,10
theta_iso,0.6,p999_latency,0.07028619721628519,0.019578558070710548,0.04774946923625126,0.12042030580099956,10
theta_iso,0.6,slo_violation_rate,0.003987877498418006,0.004863530521300005,0.0007967787373902651,0.022669722304743314,10
theta_iso,0.6,goodput,2548.727272727273,10.315637464071587,2512.2363636363634,2563.4,10
theta_iso,0.7,p99_latency,0.03764273501690463,0.00029894672415855996,0.03694090082126951,0.038376457178797306,10
theta_iso,0.7,p999_latency,0.06558201271391305,0.012986441781334544,0.04646654324939047,0.10398105875160406,10
theta_iso,0.7,slo_violation_rate,0.0014144849129727375,0.0005335042089152781,0.0007385471924554564,0.0028896797153024913,10
theta_iso,0.7,goodput,2555.0454545454545,5.361900523982754,2539.0363636363636,2564.2181818181816,10
